imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count
tt10333688,0.0,0.0,NR,en,2022-08-18,5.177,5.5,7.0
tt10339052,0.0,0.0,,en,2021-09-09,12.944,6.3,50.0
tt10340562,0.0,0.0,,ta,2022-03-10,4.503,6.861,18.0
tt10341034,10722200.0,9639920.0,,fr,2021-09-08,13.122,7.5,596.0
tt10341040,20000000.0,0.0,,fr,2021-08-04,9.654,5.5,26.0
tt10341196,0.0,0.0,PG-13,en,2022-09-02,28.034,7.2,10.0
tt10342228,0.0,0.0,NC-17,en,2021-01-22,152.952,6.7,219.0
tt10342730,20000000.0,40618900.0,R,en,2021-05-12,126.156,6.1,1236.0
tt10342914,0.0,0.0,,en,2021-11-09,2.961,6.0,5.0
tt10343028,0.0,0.0,R,en,2022-10-28,54.875,6.843,156.0
tt10343124,0.0,0.0,,en,2022-02-23,0.6,2.0,1.0
tt10344404,0.0,0.0,,en,2021-05-10,0.6,0.0,0.0
tt10344522,0.0,0.0,R,en,2021-04-30,29.063,6.9,104.0
tt10345782,0.0,0.0,,it,2021-10-07,6.259,6.2,132.0
tt10346674,0.0,0.0,,en,2021-06-14,3.022,0.0,0.0
tt10350204,20000.0,0.0,NR,en,2021-06-24,2.478,6.8,6.0
tt10352594,0.0,0.0,,en,2022-02-11,2.702,5.8,8.0
tt10353704,0.0,0.0,,en,2021-07-29,5.516,6.9,18.0
tt10354106,0.0,0.0,R,en,2022-10-14,10.91,5.4,18.0
tt10355058,0.0,0.0,PG,en,2021-07-02,2.496,6.0,2.0
tt10356564,0.0,0.0,,en,2022-02-04,12.222,4.591,11.0
tt10358566,0.0,0.0,,en,2022-03-01,0.946,0.0,0.0
tt10358782,0.0,0.0,,ja,2021-06-25,2.618,7.5,4.0
tt10360772,0.0,0.0,PG-13,nl,2021-10-07,12.176,6.6,120.0
tt10360808,0.0,0.0,,es,2022-04-11,1.4,7.0,1.0
tt10360862,0.0,0.0,,ar,2021-03-15,7.234,6.7,65.0
tt10362566,1500000.0,0.0,R,en,2022-02-10,283.517,6.6,88.0
tt10364034,86000000.0,0.0,,fr,2023-07-05,72.795,0.0,0.0
tt10365870,0.0,0.0,,en,2021-04-18,1.017,0.0,0.0
tt10365998,0.0,0.0,R,en,2023-01-27,19.27,0.0,0.0
tt10366418,0.0,0.0,,ga,2022-09-16,1.726,9.0,2.0
tt10366428,0.0,4849620.0,,fr,2021-06-30,11.382,5.8,80.0
tt10366460,0.0,0.0,PG-13,en,2021-08-11,66.023,8.1,1252.0
tt10366514,26000000.0,13000000.0,,fr,2021-10-07,28.429,6.3,334.0
tt10366574,0.0,0.0,,es,2021-09-16,27.525,7.9,66.0
tt10367074,2933290.0,0.0,,en,2021-09-17,1.262,8.0,1.0
tt10368680,0.0,0.0,,en,2021-11-19,1.932,0.0,0.0
tt10369964,0.0,0.0,,en,2022-12-22,4.787,2.0,1.0
tt10370042,20000000.0,318989.0,,en,2021-04-08,3.122,4.8,6.0
tt10370710,5000000.0,8800000.0,R,no,2021-10-13,35.844,7.7,465.0
tt10370822,0.0,686258000.0,,zh,2021-02-12,8.526,5.5,31.0
tt10373344,0.0,0.0,,en,2022-08-19,10.133,6.778,9.0
tt10375094,0.0,0.0,,ml,2022-03-11,2.372,8.063,8.0
tt10375396,0.0,0.0,R,en,2022-09-30,4.962,6.021,24.0
tt10375916,0.0,0.0,R,en,2021-04-16,7.709,6.2,52.0
tt10376010,0.0,0.0,,pt,2021-11-11,1.193,7.6,4.0
tt10376078,0.0,0.0,,pl,2021-09-23,1.4,7.2,3.0
tt10376384,0.0,0.0,,ko,2021-02-24,1.235,5.0,1.0
tt10376800,0.0,0.0,,fr,2022-02-02,2.854,6.3,4.0
tt10377292,145.0,0.0,,en,2021-06-01,2.447,5.0,1.0
tt10380744,0.0,0.0,,en,2021-10-11,1.27,5.0,2.0
tt10380900,0.0,0.0,,ru,2021-09-09,5.439,6.9,31.0
tt10381014,0.0,0.0,,en,2021-09-10,4.846,6.6,24.0
tt10381602,0.0,0.0,,ja,2021-03-20,0.6,7.5,2.0
tt10383290,0.0,0.0,,en,2021-02-23,2.46,4.5,2.0
tt10384534,0.0,0.0,,en,2021-09-25,0.6,0.0,0.0
tt10393182,0.0,0.0,,en,2022-08-05,1.026,2.0,1.0
tt10393440,0.0,0.0,,zh,2021-08-14,1.237,6.0,4.0
tt10393870,0.0,0.0,,hi,2022-05-13,3.605,6.0,15.0
tt10395866,0.0,0.0,,pt,2022-04-14,2.839,7.0,27.0
tt10396450,0.0,0.0,,en,2021-09-01,2.772,0.0,0.0
tt10398318,0.0,0.0,,en,2022-03-18,4.997,5.8,11.0
tt10399608,2400000.0,380512.0,NR,es,2022-10-07,299.787,6.657,248.0
tt10400028,0.0,0.0,,sv,2021-11-11,5.29,5.8,34.0
tt10402832,0.0,0.0,,en,2021-03-03,0.987,0.0,0.0
tt10402840,0.0,0.0,,en,2021-03-31,1.4,0.0,0.0
tt10403420,250000.0,12400000.0,NR,en,2022-10-06,787.761,7.0,843.0
tt10404944,14479700.0,0.0,,fr,2021-08-18,123.514,7.5,784.0
tt10405022,0.0,0.0,,en,2022-06-03,3.955,4.8,4.0
tt10405142,22000000.0,0.0,,fr,2022-04-06,67.255,6.3,205.0
tt10405760,0.0,0.0,,it,2021-06-03,2.613,6.2,27.0
tt10406466,0.0,0.0,,en,2022-09-23,1.792,7.5,2.0
tt10406596,0.0,0.0,,en,2022-03-04,8.596,6.2,20.0
tt10409102,0.0,0.0,,en,2021-02-12,0.718,0.0,0.0
tt10413092,0.0,0.0,NR,en,2021-01-05,0.97,7.0,1.0
tt10415494,0.0,0.0,,kn,2022-02-24,0.9,0.0,0.0
tt10415576,0.0,0.0,,zh,2021-10-22,3.436,5.9,10.0
tt10415600,0.0,0.0,,kn,2021-10-14,0.984,0.0,0.0
tt10418662,0.0,0.0,R,en,2021-06-09,94.45,6.0,821.0
tt10418680,0.0,0.0,,en,2022-11-23,4.373,5.7,3.0
tt10423106,0.0,0.0,,ja,2021-03-05,2.055,6.3,3.0
tt10423286,0.0,55540000.0,,cn,2021-12-31,2.655,5.5,6.0
tt10426580,0.0,0.0,NR,en,2021-04-01,0.886,0.0,0.0
tt10426796,0.0,0.0,,en,2022-04-30,1.957,7.8,4.0
tt10430844,0.0,0.0,,en,2022-05-03,2.591,3.0,1.0
tt10430850,0.0,0.0,,en,2021-08-27,5.224,7.5,17.0
tt10431332,0.0,0.0,,es,2021-02-15,82.021,8.293,188.0
tt10437216,0.0,0.0,,en,2021-06-08,2.637,6.4,14.0
tt10441822,0.0,0.0,,en,2021-09-16,4.49,6.1,14.0
tt10442096,0.0,0.0,,en,2022-11-17,5.199,3.0,1.0
tt10442666,0.0,0.0,,en,2021-11-19,2.021,6.5,2.0
tt10447368,0.0,0.0,,en,2021-12-04,1.014,0.0,0.0
tt10448124,100.0,0.0,,en,2021-04-13,1.855,1.0,1.0
tt10448458,0.0,0.0,,en,2021-03-03,2.727,4.9,6.0
tt10448662,0.0,0.0,,ru,2021-11-05,1.4,8.0,1.0
tt10449052,0.0,0.0,PG-13,en,2021-01-22,7.424,6.4,16.0
tt10449564,1000000.0,0.0,,en,2021-10-02,0.6,0.0,0.0
tt10451312,0.0,39200.0,,da,2021-05-27,57.968,6.2,29.0
tt10451852,10000000.0,0.0,,en,2021-07-15,10.595,7.1,91.0
tt10451914,0.0,0.0,R,en,2021-01-15,99.799,6.4,1453.0
tt10452434,0.0,0.0,,ml,2021-12-24,0.623,0.0,0.0
tt10455028,0.0,0.0,,sr,2021-05-20,0.643,0.0,0.0
tt10457168,0.0,0.0,,en,2021-11-27,3.342,8.2,6.0
tt10471376,0.0,0.0,,it,2022-08-13,0.6,0.0,0.0
tt10472094,0.0,0.0,,en,2021-03-20,0.6,1.0,1.0
tt10473036,17000000.0,52840.0,PG,en,2022-12-16,27.427,6.0,14.0
tt10481760,0.0,0.0,,cs,2022-04-28,0.799,8.0,1.0
